fish i.d.,Species,Date of Capture,FL,European Age,Age Confidence(1-4),Andrew ages,comments,Catch Location
CK147,Chinook,7/25/19 0:02,73,0.2,3,0.2,,South Vancouver Island Trawl
CK148,Chinook,7/25/19 0:09,64,0.2,3,0.2,,All
CK149,Chinook,7/25/19 0:23,78,0.2,3,0.2,,
CK150,Chinook,7/25/19 0:26,78,1.3,3,1.3,distance between freshwater and first marine indicates yearling-AMC,
CK151,Chinook,7/25/19 0:30,68,0.2,3,0.2,,
CK152,Chinook,7/25/19 0:39,61,0.2,3,0.2,,
CK153,Chinook,7/25/19 0:46,52,0.3,3,0.3,,
CK154,Chinook,7/25/19 13:09,71,1.2,4,1.2,Hatchery fish-AMC,
CK155,Chinook,7/25/19 13:20,70,R,,R,No good scales,
CK156,Chinook,7/25/19 13:23,63,0.3,3,0.3,,
CK157,Chinook,7/25/19 13:30,79,0.3,3,0.3,,
CK158,Chinook,7/25/19 13:35,65,0.2,3,0.2,,
,,,,,,,,
CK160,Chinook,7/25/19 13:43,71,0.2,3,0.2,,
CK161,Chinook,7/25/19 13:50,69,R,,R,No good scales,
CK162,Chinook,7/25/19 13:55,67,0.2,3,0.2,,
CK163,Chinook,7/25/19 13:58,62,0.2,2,0.2,,
,,,,,,,,
CK165,Chinook,7/25/19 14:09,66,0.2,3,0.2,maybe 1.2-AMC,
CK166,Chinook,7/25/19 14:15,76,0.3,2,0.3,,
CK167,Chinook,7/25/19 14:19,67,0.2,4,0.2,,
CK168,Chinook,7/25/19 14:27,70,0.2,3,0.2,,
CK169,Chinook,7/25/19 14:31,92,0.3,3,0.3,,
CK170,Chinook,7/25/19 14:35,79,R,,R,No good scales,
CK171,Chinook,7/25/19 15:24,67,0.2,4,0.2,,
CK172,Chinook,7/25/19 15:57,83,R,,R,regen scale,
CK173,Chinook,7/25/19 16:00,78,0.3,4,0.3,,
CK174,Chinook,7/25/19 16:05,78,0.3,4,0.3,,
CK175,Chinook,7/25/19 16:09,72,0.2,2,R,,
CK176,Chinook,7/25/19 16:13,60,0.2,4,0.2,,
CK177,Chinook,7/25/19 16:17,72,0.3,4,0.3,,
CK178,Chinook,7/25/19 16:28,76,0.2,4,0.2,,
CK179,Chinook,7/25/19 16:33,79,0.3,4,0.3,,
CK180,Chinook,7/25/19 16:47,69,0.2,1,R,,
CK181,Chinook,7/25/19 16:51,78,0.3,4,0.3,,
CK182,Chinook,7/25/19 17:00,72,0.3,3,0.3,,
CK183,Chinook,7/25/19 17:06,63,R,,R,,
CK184,Chinook,7/25/19 17:17,71,0.2,2,0.2,,
CK185,Chinook,7/25/19 19:03,73,0.2,3,0.2,,
CK186,Chinook,7/25/19 19:08,82,R,,R,,
CK187,Chinook,7/25/19 19:28,63,0.2,4,0.2,,
CK188,Chinook,7/25/19 19:34,83,R,,R,,
CK189,Chinook,7/25/19 21:05,64,R,,R,,
CK190,Chinook,8/14/19 14:39,63,R,,R,,
CK191,Chinook,8/14/19 14:50,77,R,,R,,
CK192,Chinook,8/14/19 15:19,76,0.2,4,0.2,,
CK193,Chinook,8/14/19 15:51,74,0.2,4,0.2,,
CK194,Chinook,8/14/19 18:18,80,R,,R,,
CK195,Chinook,8/14/19 21:36,78,0.3,4,0.3,,
CK196,Chinook,8/14/19 21:57,77,0.3,4,0.3,,
CK197,Chinook,8/14/19 22:17,77,R,,R,,
CK198,Chinook,8/15/19 14:49,88,R,,R,,
CK199,Chinook,8/15/19 15:48,66,0.2,2,0.3,x,
CK200,Chinook,8/15/19 16:36,78,0.3,2,0.4,x,
CK201,Chinook,8/15/19 16:40,55,0.2,4,0.2,,
CK202,Chinook,8/15/19 17:13,82,0.3,4,0.3,,
CK203,Chinook,8/15/19 17:18,80,0.3,3,0.3,,
CK204,Chinook,8/15/19 17:23,87,R,,R,,
CK205,Chinook,8/15/19 17:34,70,0.2,4,0.2,,
CK206,Chinook,8/15/19 18:42,61,0.2,4,0.2,,
CK207,Chinook,8/15/19 18:52,61,R,,R,,
CK208,Chinook,8/15/19 19:28,77,1.2,3,1.2,,
CK209,Chinook,8/15/19 20:27,65,R,,R,,
CK210,Chinook,8/15/19 22:08,80,0.3,2,0.3,,
CK211,Chinook,8/15/19 22:15,81,0.3,4,0.3,,
CK212,Chinook,8/15/19 22:23,75,0.3,4,0.3,,
CK213,Chinook,8/15/19 22:40,62,0.2,4,0.2,,
CK214,Chinook,8/15/19 22:55,53,0.1,3,0.1,,
,,,,,,,,
CK216,Chinook,8/16/19 14:34,65,1.1,3,1.1,x,
CK217,Chinook,8/16/19 14:56,80,0.3,4,0.3,,
CK218,Chinook,8/16/19 14:59,62,R,,R,,
CK219,Chinook,8/16/19 15:36,80,0.3,4,0.3,,
CK220,Chinook,8/16/19 16:10,71,0.3,4,0.3,,
CK221,Chinook,8/16/19 17:04,72,0.2,4,0.2,,
,,,,,,,,
CK223,Chinook,8/16/19 18:00,79,0.3,4,0.3,,
CK224,Chinook,8/16/19 18:18,79,0.3,4,0.3,,
CK225,Chinook,8/16/19 18:32,54,0.2,4,0.2,,
CK226,Chinook,8/16/19 19:00,77,0.3,3,0.3,R-AMC,
CK227,Chinook,8/16/19 19:53,76,R,,R,,
CK228,Chinook,8/16/19 19:57,76,0.3,4,0.3,,
CK229,Chinook,8/16/19 20:52,70,0.2,4,0.2,,
CK230,Chinook,8/16/19 22:00,83,0.3,4,0.3,,
CK231,Chinook,8/23/19 15:52,60,0.2,3,0.2,,
CK232,Chinook,8/23/19 15:56,66,0.2,3,0.2,,
CK233,Chinook,8/23/19 16:02,55,0.2,4,0.2,,
,,,,,,,,
CK235,Chinook,8/23/19 16:12,57,R,,R,,
CK236,Chinook,8/23/19 16:19,61,R,,R,,
CK237,Chinook,8/23/19 16:24,62,0.2,4,0.2,,
CK238,Chinook,8/23/19 16:31,60,0.2,4,0.2,,
CK239,Chinook,8/23/19 16:35,60,0.2,4,0.2,,
CK240,Chinook,8/23/19 16:40,54,0.1,4,0.1,,
CK241,Chinook,8/23/19 16:45,64,0.2,4,0.2,,
CK242,Chinook,8/23/19 16:52,72,1.2,2,,x,
CK243,Chinook,8/23/19 17:02,63,R,,,,
CK244,Chinook,8/23/19 17:08,73,0.2,4,,,
CK245,Chinook,8/23/19 17:27,65,R,,,,
CK246,Chinook,8/23/19 18:25,63,0.2,4,,,
CK247,Chinook,8/23/19 19:00,80,0.3,4,,,
CK248,Chinook,8/23/19 19:04,74,0.3,3,,,
CK249,Chinook,8/23/19 19:35,63,0.2,3,0.2,,
CK250,Chinook,8/23/19 20:04,73,0.3,4,,,
CK251,Chinook,8/23/19 20:12,62,0.2,4,,,
CK252,Chinook,8/23/19 20:19,81,0.3,4,,,
CK253,Chinook,8/23/19 20:22,58,R,,,,
CK254,Chinook,8/23/19 20:32,84,0.3,4,,,
CK255,Chinook,8/23/19 20:47,72,0.3,2,,x,
CK256,Chinook,8/23/19 20:52,91,0.3,4,,,
CK257,Chinook,8/23/19 21:01,82,0.3,3,,x,
CK258,Chinook,8/23/19 21:16,65,R,,,,
CK259,Chinook,8/23/19 21:34,84,0.3,4,,,
CK260,Chinook,8/23/19 23:04,69,R,,,,
CK261,Chinook,8/23/19 23:11,78,0.3,2,,,
CK262,Chinook,8/24/19 0:21,85,0.3,4,,,
CK263,Chinook,8/24/19 0:33,73,0.3,3,,,
CK264,Chinook,8/24/19 0:53,63,0.2,4,,,
CK265,Chinook,8/24/19 1:01,70,0.3,2,,,
CK266,Chinook,8/24/19 14:03,57,R,,,,
CK267,Chinook,8/24/19 14:30,87,0.3,4,,,
CK268,Chinook,8/24/19 15:23,81,R,,,,
CK269,Chinook,8/24/19 15:32,75,0.3,3,,,
CK270,Chinook,8/24/19 15:47,60,0.2,4,,,
CK271,Chinook,8/24/19 15:51,70,0.2,3,,,
CK272,Chinook,8/24/19 15:54,67,0.2,3,,,
CK273,Chinook,8/24/19 15:57,65,R,,,,
CK274,Chinook,8/24/19 16:11,65,R,,,,
CK275,Chinook,8/24/19 16:27,63,0.2,3,,,
CK276,Chinook,8/24/19 16:40,51,0.2,3,,,
CK277,Chinook,8/24/19 16:45,61,0.2,4,,,
CK278,Chinook,8/24/19 17:28,76,0.2,2,,,
CK279,Chinook,8/24/19 17:40,76,0.2,2,0.2,maybe 1.2,
CK280,Chinook,8/24/19 17:46,55,0.2,4,,,
CK281,Chinook,8/24/19 18:02,65,0.2,3,0.2,,
CK282,Chinook,8/24/19 18:04,63,0.2,4,,,
CK283,Chinook,8/24/19 18:09,65,R,,,,
CK284,Chinook,8/24/19 18:14,63,0.2,4,0.2,,
CK285,Chinook,NA,59,R,,,,
CK286,Chinook,8/24/19 18:27,59,0.2,3,,,
CK287,Chinook,8/24/19 18:30,68,R,,,,
CK288,Chinook,8/24/19 18:37,71,0.2,3,0.2,,
CK289,Chinook,8/24/19 18:39,66,0.2,2,,,
CK290,Chinook,8/24/19 20:35,70,0.2,2,,,
CK291,Chinook,8/24/19 20:39,66,0.2,3,,,
CK292,Chinook,8/24/19 20:43,72,0.2,3,,,
CK293,Chinook,8/24/19 20:46,74,0.2,3,,,
CK295,Chinook,7/3/20 14:19,65,0.2,2,,,
CK296,Chinook,7/3/20 18:26,68,0.2,2,,,
CK297,Chinook,7/3/20 19:56,70,0.2,2,,,
CK298,Chinook,7/3/20 20:19,86,0.3,3,,,
CK299,Chinook,7/4/20 16:08,63,0.3,3,,,
CK300,Chinook,7/4/20 17:12,69,0.2,2,,,
CK301,Chinook,7/4/20 17:49,82,0.3,3,,,
CK302,Chinook,7/4/20 18:06,67,0.2,2,0.2,,
CK303,Chinook,7/4/20 18:12,78,0.3,4,,,
CK304,Chinook,7/4/20 18:17,82,0.3,4,,,
CK305,Chinook,7/4/20 18:43,60,0.2,3,,,
CK306,Chinook,7/4/20 18:57,68,R,,,,
CK307,Chinook,7/4/20 21:17,86,0.3,4,,,
,,,,,,,,
CK309,Chinook,7/4/20 21:27,56,0.2,3,,,
CK310,Chinook,7/4/20 21:34,86,0.3,2,,,
CK311,Chinook,7/4/20 21:41,74,0.2,1,1.2,,
CK312,Chinook,7/4/20 21:51,87,R,,,,
CK313,Chinook,7/4/20 22:26,43,0.1,4,,,
CK314,Chinook,7/5/20 15:45,77,0.2,3,,,
CK315,Chinook,7/5/20 17:37,79,0.3,3,,,
CK316,Chinook,7/5/20 18:24,72,0.2,1,,,
CK317,Chinook,7/5/20 18:58,78,1.2,3,1.2,,
CK318,Chinook,7/5/20 19:03,68,0.2,4,,,
CK319,Chinook,7/5/20 19:40,79,1.2,1,1.2,,
CK320,Chinook,7/5/20 19:44,66,R,,,,
CK321,Chinook,7/5/20 19:54,69,0.2,3,,,
CK322,Chinook,7/5/20 19:59,76,1.2,2,1.2,,
CK323,Chinook,7/5/20 20:18,81,0.2,1,R,,
CK324,Chinook,7/5/20 20:31,74,0.3,4,,,
CK325,Chinook,7/5/20 21:03,82,0.3,4,,,
CK326,Chinook,7/5/20 21:08,53,R,,,,
CK327,Chinook,7/5/20 21:16,74,0.3,4,,,
CK328,Chinook,7/5/20 21:40,94,0.3,2,,,
CK329,Chinook,7/5/20 21:45,65,R,,,,
CK330,Chinook,7/5/20 21:59,77,R,,,,
CK331,Chinook,7/5/20 22:28,85,0.3,3,,,
CK332,Chinook,7/5/20 22:41,74,0.3,3,0.3,,
CK333,Chinook,7/6/20 14:40,60,0.2,4,,,
CK334,Chinook,7/6/20 14:58,66,1.2,1,1.2,,
CK335,Chinook,7/6/20 15:02,60,1.2,3,1.2,Doesn't really look like freshwater but sort of like resevoir type,
CK336,Chinook,7/6/20 15:05,59,0.2,4,,,
CK337,Chinook,7/6/20 15:10,82,0.3,4,,,
CK338,Chinook,7/6/20 15:15,73,0.2,1,0.2,,
CK339,Chinook,7/6/20 15:20,61,0.2,2,,,
CK340,Chinook,7/6/20 15:22,56,R,,,,
CK341,Chinook,7/6/20 15:38,76,0.3,4,,,
CK342,Chinook,7/6/20 15:43,51,R,,,,
CK343,Chinook,7/6/20 19:35,71,0.3,4,,,
CK344,Chinook,7/6/20 20:06,79,0.3,4,,,
CK345,Chinook,7/7/20 14:19,63,0.2,2,,,
CK346,Chinook,7/7/20 15:02,54,0.2,2,0.2,,
CK347,Chinook,7/7/20 15:21,63,0.2,3,,,
CK348,Chinook,7/7/20 16:57,71,0.2,1,0.2,,
CK349,Chinook,7/7/20 19:24,67,0.2,4,,,
CK350,Chinook,7/7/20 19:57,79,0.4,1,0.4,,
CK351,Chinook,7/7/20 20:53,69,0.2,3,,,
CK352,Chinook,7/7/20 21:08,73,0.3,3,0.3,,
CK353,Chinook,7/7/20 21:43,65,0.2,4,,,
CK354,Chinook,7/7/20 21:48,78,0.2,3,,,
CK355,Chinook,7/7/20 21:53,55,R,,,,
CK356,Chinook,7/7/20 22:15,71,1.2,1,R,,
CK357,Chinook,7/7/20 22:38,63,0.2,4,,,
CK358,Chinook,7/24/20 14:16,84,0.3,4,,,
CK359,Chinook,7/24/20 14:20,77,R,,,,
CK360,Chinook,7/24/20 15:57,70,R,,,,
CK361,Chinook,7/24/20 16:03,71,0.2,3,0.2,,
CK362,Chinook,7/24/20 16:09,76,0.3,3,,,
CK363,Chinook,7/24/20 16:49,68,0.2,4,,,
CK364,Chinook,7/24/20 16:54,66,0.2,4,0.2,,
CK365,Chinook,7/24/20 17:57,79,0.3,4,,,
CK366,Chinook,7/24/20 19:52,72,R,,,,
CK367,Chinook,7/24/20 23:35,61,0.2,4,,,
CK368,Chinook,7/25/20 16:17,65,0.2,4,,,
CK369,Chinook,7/25/20 16:42,51,0.2,3,,,
CK370,Chinook,7/25/20 16:46,67,0.2,1,0.2,,
CK371,Chinook,7/25/20 16:51,77,1.2,2,1.2,,
CK372,Chinook,7/25/20 16:54,55,R,,,,
CK373,Chinook,7/25/20 17:05,66,R,,,,
CK374,Chinook,7/25/20 17:30,74,0.2,2,,,
CK375,Chinook,7/25/20 17:35,75,0.2,2,,,
CK376,Chinook,7/25/20 17:56,77,0.3,3,,,
,,,,,,,,
CK378,Chinook,7/25/20 18:30,79,0.3,3,,,
,,,,,,,,
CK380,Chinook,7/26/20 14:28,72,0.3,2,,,
CK381,Chinook,7/26/20 15:33,47,0.1,3,,,
CK382,Chinook,NA,52,0.2,3,,,
CK383,Chinook,7/26/20 16:03,63,0.2,3,,,
CK384,Chinook,7/26/20 18:09,67,0.2,2,,,
CK385,Chinook,7/26/20 18:19,80,0.3,3,,,
CK386,Chinook,7/26/20 19:28,52,1.1,2,0.1,,
CK387,Chinook,7/26/20 20:19,61,R,,,,
CK388,Chinook,7/26/20 20:30,82,0.3,4,,,
CK389,Chinook,7/26/20 20:34,61,0.2,4,,,
CK390,Chinook,7/26/20 20:55,48,,,,,
CK391,Chinook,7/26/20 21:00,64,0.2,3,,,
CK392,Chinook,7/26/20 21:03,68,0.2,4,,,
CK393,Chinook,7/26/20 22:07,57,0.2,3,,,
CK394,Chinook,7/26/20 22:33,49,0.1,3,,,
,,,,,,,,
,,,,,,,,
CK397,Chinook,8/27/20 15:42,63,0.2,2,,,
CK398,Chinook,8/27/20 15:53,49,0.1,4,,,
CK399,Chinook,8/27/20 15:59,47,0.1,4,,,
CK400,Chinook,8/27/20 16:11,52,0.1,3,,,
CK401,Chinook,8/27/20 16:40,49,0.1,3,,,
CK402,Chinook,8/27/20 16:43,46,0.1,3,,,
,,,,,,,,
,,,,,,,,
CK405,Chinook,8/27/20 17:51,52,0.2,4,,,
CK406,Chinook,8/27/20 17:50,62,0.2,3,,,
CK407,Chinook,8/27/20 18:42,75,0.2,2,0.2,,
CK408,Chinook,8/27/20 19:15,55,R,,,,
CK409,Chinook,8/27/20 19:22,50,R,,,,
CK410,Chinook,8/27/20 19:27,45,0.1,3,,,
CK411,Chinook,8/27/20 19:32,49,0.1,4,,,
CK412,Chinook,8/27/20 20:02,60,R,,,,
CK413,Chinook,8/27/20 20:07,51,0.1,2,,,
CK414,Chinook,8/27/20 20:13,57,0.2,3,0.2,,
CK415,Chinook,8/27/20 20:19,53,0.1,2,,,
CK416,Chinook,8/27/20 21:04,58,0.2,4,,,
CK417,Chinook,8/27/20 21:23,56,0.2,4,,,
,,,,,,,,
CK419,Chinook,8/27/20 21:50,59,1.1,2,1.1,,
CK420,Chinook,8/27/20 21:57,46,0.1,3,,,
CK421,Chinook,8/27/20 22:06,51,0.1,3,,,
CK422,Chinook,8/27/20 22:16,60,0.2,3,,,
CK423,Chinook,8/27/20 22:21,52,0.1,4,,,
CK424,Chinook,8/27/20 22:27,57,0.1,2,,,
CK425,Chinook,8/27/20 22:31,53,0.2,3,,"error, wrong cell data? Cell 26-30?",
CK426,Chinook,8/27/20 23:02,78,0.3,3,,"error, wrong cell data? Cell 31-35?",
CK427,Chinook,8/27/20 23:12,65,0.2,2,,"error, wrong cell data? Cell 36-40?",
CK428,Chinook,8/28/20 15:06,79,1.2,2,0.3,,
CK429,Chinook,8/28/20 15:28,54,0.2,3,,,
CK430,Chinook,8/28/20 15:31,57,R,,,,
CK431,Chinook,8/28/20 15:36,52,0.1,2,,,
CK432,Chinook,8/28/20 16:05,78,1.2,2,0.3,,
CK433,Chinook,8/28/20 16:12,55,0.1,3,,,
CK434,Chinook,8/28/20 16:48,53,0.2,2,0.2,,
CK435,Chinook,8/28/20 17:10,56,R,,,,
CK436,Chinook,8/28/20 17:40,62,0.2,3,,,
CK437,Chinook,8/28/20 17:56,52,0.1,2,,,
CK438,Chinook,8/28/20 18:02,51,0.1,3,,,
CK439,Chinook,8/28/20 18:10,54,0.2,4,,,
CK440,Chinook,8/28/20 18:08,60,0.2,3,,,
CK441,Chinook,8/28/20 18:29,68,0.2,3,,,
CK442,Chinook,8/28/20 18:57,74,0.2,1,,,
CK443,Chinook,8/28/20 19:00,61,1.1,4,1.1,,
CK444,Chinook,8/28/20 19:56,61,1.1,3,,,
CK445,Chinook,8/28/20 20:21,79,0.3,3,,,
CK446,Chinook,8/28/20 20:24,57,0.2,4,0.2,,
CK447,Chinook,8/28/20 21:35,48,R,,,,
CK448,Chinook,8/28/20 22:17,61,R,,,,
CK449,Chinook,8/28/20 22:22,53,R,,,,
CK450,Chinook,8/31/20 15:26,87,0.3,4,,,
CK451,Chinook,8/31/20 18:35,59,0.2,3,,,
CK452,Chinook,8/31/20 20:17,60,R,,,,
CK453,Chinook,8/31/20 22:55,90,0.3,3,,,
CK454,Chinook,8/31/20 23:50,75,0.2,3,0.2,,
CK455,Chinook,8/31/20 23:54,69,0.2,4,,,
CK456,Chinook,9/1/20 14:26,77,0.2,2,,,
CK457,Chinook,9/1/20 17:01,81,R,,,all regen,
CK458,Chinook,9/1/20 18:00,67,0.2,3,,,
CK459,Chinook,9/1/20 19:43,70,0.2,3,,,
CK460,Chinook,9/1/20 20:53,70,0.2,3,,,
CK461,Chinook,9/8/20 15:13,65,R,,,,
CK462,Chinook,9/8/20 15:28,50,R,,,,
CK463,Chinook,9/8/20 17:13,64,R,,,,
CK464,Chinook,9/8/20 17:17,78,R,,,all regen,
CK465,Chinook,9/8/20 18:51,55,R,,,,
CK466,Chinook,NA,61,0.2,4,,,
CK467,Chinook,9/8/20 19:22,58,0.2,3,,,
CK468,Chinook,9/8/20 19:27,56,0.1,2,,,
CK469,Chinook,9/8/20 19:30,64,0.2,3,,,
CK470,Chinook,9/8/20 19:37,81,0.3,4,,,
CK471,Chinook,9/8/20 19:44,60,0.2,4,,,
CK472,Chinook,9/8/20 19:48,49,0.1,4,,,
CK473,Chinook,9/8/20 19:52,51,0.1,4,,,
CK474,Chinook,9/8/20 20:08,65,0.2,4,,,
CK475,Chinook,9/8/20 20:18,62,0.2,3,,,
CK476,Chinook,9/8/20 20:24,69,R,,,,
CK477,Chinook,9/8/20 20:33,58,0.2,3,,,
CK478,Chinook,9/8/20 20:50,57,0.1,4,,,
CK479,Chinook,9/8/20 20:52,52,0.1,4,,,
CK480,Chinook,9/8/20 20:58,48,R,,,,
CK481,Chinook,9/8/20 21:02,59,0.1,3,,,
CK482,Chinook,9/8/20 21:06,68,0.2,3,,,
CK483,Chinook,9/8/20 21:23,49,0.1,2,,,
CK484,Chinook,9/8/20 21:28,57,0.1,3,,,
CK485,Chinook,9/8/20 21:32,58,0.1,3,,,
CK486,Chinook,9/8/20 21:36,62,0.2,3,,,
CK487,Chinook,9/8/20 21:45,74,R,,,,
CK488,Chinook,9/8/20 22:22,61,0.2,3,,,
CK489,Chinook,9/8/20 22:35,64,0.2,4,,,
CK490,Chinook,9/8/20 22:58,59,0.2,4,,,
CK491,Chinook,9/9/20 15:05,62,0.2,3,,,
CK492,Chinook,9/9/20 15:10,64,0.2,4,,,
CK493,Chinook,9/9/20 15:14,55,0.1,4,,,
CK494,Chinook,9/9/20 15:23,56,R,,,,
CK495,Chinook,9/9/20 15:20,75,R,,,,
CK496,Chinook,9/9/20 15:38,48,0.1,4,,,
CK497,Chinook,9/9/20 15:41,49,0.1,4,,,
CK498,Chinook,9/9/20 15:45,53,R,,,,
CK499,Chinook,9/9/20 15:58,50,0.1,3,,,
CK500,Chinook,9/9/20 16:15,60,R,,,,
,,,,,,,,
CK502,Chinook,9/9/20 16:49,49,0.1,4,,,
,,,,,,,,
CK504,Chinook,9/9/20 18:08,50,0.1,3,,,
CK505,Chinook,9/9/20 18:19,59,0.2,2,0.2,,
CK506,Chinook,9/9/20 18:25,56,1.1,2,1.1,,
